instrument,manufacturer
6520 Quadrupole Time-of-Flight LC/MS,Agilent
6550 iFunnel Q-TOF LC/MS,Agilent
Bruker Daltonics flex series,Bruker
Bruker Daltonics instrument model,Bruker
Exactive Plus,Thermo
impact II,Bruker
LTQ,Thermo
LTQ FT,Thermo
LTQ Orbitap Discovery,Thermo
LTQ Orbitrap,Thermo
LTQ Orbitrap Elite,Thermo
LTQ Orbitrap Velos,Thermo
LTQ Orbitrap XL,Thermo
LTQ Orbitrap XL ETD,Thermo
maXis,Bruker
micrOTOF II,Bruker
Orbitrap Eclipse,Thermo
Orbitrap Exploris 240,Thermo
Orbitrap Exploris 480,Thermo
Orbitrap Fusion,Thermo
Orbitrap Fusion ETD,Thermo
Orbitrap Fusion Lumos,Thermo
Q Exactive,Thermo
Q Exactive HF,Thermo
Q Exactive HF-X,Thermo
Q Exactive Plus,Thermo
Q TRAP,SCIEX
Synapt MS,Waters
timsTOF Pro,Bruker
TripleTOF 5600,SCIEX
TripleTOF 6600,SCIEX
TSQ Quantiva,Thermo
TSQ Vantage,Thermo
